,val_loss,loss
0,0.13776078150359863,0.26100488722483983
1,0.06005546471121114,0.08201460896007141
2,0.04208714333832811,0.05802931216443506
3,0.037653039081381,0.054688784130652986
4,0.03401283024374498,0.05100277146418099
5,0.03453755228344454,0.050876393693802584
6,0.04532285379843974,0.049650324110936464
7,0.034828999481343347,0.05234387175894246
8,0.033468256986469304,0.051597512066098264
9,0.03302072767817646,0.04839780460306802
10,0.037598248673688384,0.04863766683334448
11,0.03453494953589702,0.050442647548984795
12,0.037448345726236294,0.048823419238187254
13,0.03723083764588067,0.0475937468483113
14,0.031801445119151284,0.04947937070445515
15,0.03871551600344684,0.04771221760024802
16,0.041859899433927795,0.04737082020576983
17,0.03218535976398976,0.052592688555302164
18,0.03453984333697809,0.04696024654661627
19,0.03285059086773374,0.04606669725462114
20,0.032866803877944245,0.04593654492244341
21,0.03283916700870619,0.04815664163082116
22,0.05619583921421559,0.050685331129436434
23,0.03153954032774365,0.051883868589043404
24,0.03170897832157415,0.045379709953086406
25,0.03530007214584482,0.04500013949846893
26,0.04984679134613877,0.045921203902419265
27,0.0341979874246711,0.049637981059371256
28,0.042474685971616605,0.046160847008479125
29,0.0322469893261927,0.04779254096339047
30,0.03752662696012663,0.04826920682284577
31,0.03134316961289546,0.044908447181143285
32,0.029239234659786617,0.04437381050791007
33,0.028580954657235275,0.04550849402157575
34,0.045169482742427686,0.04728404498756221
35,0.03646914107263635,0.05048088876835031
36,0.02825214746280001,0.04529743712016345
37,0.03689966176491265,0.04356531599796387
38,0.03728491218265043,0.043922360190298444
39,0.030047420292682606,0.04736251047974155
40,0.027621339049634583,0.042751532947719176
41,0.03648042907818742,0.04319754183801636
42,0.031882041296280854,0.04426565233240837
43,0.031247269088795427,0.04359333556134979
44,0.03030922417657091,0.04351933890974087
45,0.029356095683547336,0.04314955741212673
46,0.029373847922190614,0.04260041918610316
47,0.032877174573480536,0.04356489388770487
48,0.03346687251138031,0.04207062873931389
49,0.02996457841486559,0.04465195879594795
50,0.02805765719930513,0.04399883950514411
